t,x,y,track_y,heading,error,correction,distance_cm,speed_cap,left_speed,right_speed,terrain_mult
0.0,0.17688107530896313,0.5733350549177548,0.5065118201728618,1.2715482409275132,0.0967274861283987,14.776284235946441,136.85228759108054,30.0,15.223715764053559,44.77628423594644,1.0
0.02,0.3509533853064403,1.1475291256744478,1.0049149347066444,1.2764435584223042,0.031608407277462315,1.9581269979164042,164.7146653016713,30.0,28.041873002083594,31.958126997916406,1.0
0.04,0.5398711242308858,1.717011423836274,1.5456744818278683,1.2504841250788128,-0.04774250693065095,-10.38377333739652,185.58429460003606,30.0,40.38377333739652,19.61622666260348,1.0
0.06,0.7370824354880219,2.283675079554762,2.109921505031982,1.2358849003964576,-0.03233106580694468,-5.839689872942047,201.10913021313812,30.0,35.839689872942046,24.160310127057954,1.0
0.08,0.9369987566270835,2.849390082486648,2.681550556826321,1.2311073381983662,-0.014369794216780717,-1.911024879236617,212.54531443359892,30.0,31.911024879236617,28.088975120763383,1.0
0.1,1.1526206364529457,3.409307223624836,3.2975724779818543,1.2032038357616615,-0.07725138979984815,-11.161400974681895,221.27392453021434,30.0,41.1614009746819,18.838599025318103,1.0
0.12,1.3886209715051558,3.9609446424564854,3.97106179565393,1.1665413573034393,-0.11414699699084539,-14.664991383288893,227.65229609689854,30.0,44.66499138328889,15.335008616711107,1.0
0.14,1.6250358439288781,4.5124045304781575,4.644789773376777,1.1657897692986046,-0.03775234327133502,-0.3006352019339197,232.45738529952237,30.0,30.30063520193392,29.69936479806608,1.0
0.16,1.8545675732728506,5.066764688880946,5.2978466891619505,1.178238547398672,-0.0015723943179706994,4.979511240026964,236.19119484644932,30.0,25.020488759973034,34.979511240026966,1.0
0.18,2.055647486199488,5.632067146524124,5.868982487213876,1.2290497371133098,0.10711836102735874,20.324475885855087,238.7878652629681,30.0,9.675524114144913,50.32447588585509,1.0
0.2,2.2509170115126462,6.199402860615854,6.422649896408215,1.2393095655203485,0.028231282408788975,4.103931362815535,240.46122074930526,30.0,25.896068637184463,34.10393136281554,1.0
0.22,2.428107876817751,6.772642249747854,6.924158612922369,1.271007866091477,0.08951125696620219,12.679320228451342,242.04833232207145,30.0,17.320679771548658,42.679320228451346,1.0
0.24,2.590597826843338,7.350220829804873,7.383248666790754,1.2965551135343203,0.08916696254478233,10.218898977137302,242.91031428637643,30.0,19.7811010228627,40.2188989771373,1.0
0.26,2.755144328728513,7.927216885872289,7.847305383366887,1.2929926765635529,0.02469746228859191,-1.424974788306941,243.46974612934662,30.0,31.42497478830694,28.57502521169306,1.0
0.28,2.9219464919027507,8.50356490431288,8.316802889228633,1.289081166610943,0.02007246802957325,-1.5646039810439984,243.978685388084,30.0,31.564603981043998,28.435396018956002,1.0
0.3,3.103478065678079,9.075444513778589,8.826641950921186,1.2634266667829597,-0.04054266986377781,-10.261799931193355,244.34577809961235,30.0,40.26179993119335,19.738200068806645,1.0
0.32,3.286814014606546,9.646748224453129,9.340296899786397,1.2602699138406224,0.003829514997406184,-1.2627011769348842,244.55518797865102,30.0,31.262701176934883,28.737298823065117,1.0
0.34,3.4456965758999893,10.225329533965315,9.784367277998076,1.3027953871476847,0.12116394772116454,17.010189322824942,244.7301740174424,30.0,12.989810677175058,47.01018932282494,1.0
0.36,3.5993561964938596,10.805319810607042,10.212845494560812,1.3118114986780502,0.0545028398740586,3.606444612146235,244.75936575906815,30.0,26.393555387853766,33.606444612146234,1.0
0.38,3.7715857882857615,11.38006929317418,10.691891141536832,1.2796512297134537,-0.050456325235330494,-12.864107585838639,244.71379252965286,30.0,42.86410758583864,17.13589241416136,1.0
0.4,3.939808250670427,11.956004361692534,11.158497126401063,1.2866159764033993,0.033744668547494194,2.7858986759782454,244.68071367920217,30.0,27.214101324021755,32.785898675978245,1.0
0.42,4.150312120003595,12.517865662189164,11.740495210308877,1.212328587658757,-0.17633680951007888,-29.714955497856888,244.65360648832905,30.0,59.71495549785689,0.28504450214311206,1.0
0.44,4.377660947514479,13.073124620360419,12.366596400004404,1.1821730488586488,-0.09958567762640663,-12.062215520043315,244.6274849803945,30.0,42.06221552004332,17.937784479956683,1.0
0.46,4.613209579621433,13.624955067067143,13.012435153192389,1.1673600543115412,-0.0736033505483852,-5.925197818843026,244.68998575137527,30.0,35.925197818843024,24.074802181156976,1.0
0.48,4.849576611786046,14.176435462100088,13.657461753746231,1.165876519705339,-0.044295065821043866,-0.5934138424809293,244.5667503628838,30.0,30.593413842480928,29.406586157519072,1.0
0.5,5.098336653640053,14.722437697971694,14.332839580112413,1.1432930498270948,-0.09804507651723687,-9.033387951297643,244.39071583131698,30.0,39.03338795129764,20.96661204870236,1.0
0.52,5.329128366295236,15.276274483829845,14.956106850035713,1.1759646144577607,0.03732137245227297,13.068625852266372,244.21720456349374,30.0,16.931374147733628,43.06862585226637,1.0
0.54,5.571223325070204,15.825264493698645,15.606306971377942,1.155466653417188,-0.08258948444560736,-8.199184416229048,244.1260968126225,30.0,38.199184416229045,21.80081558377095,1.0
